Filename,Date_collec,Time_collec,Res,Date_run,Batch,Catch,UW,Indiv,Rank,Group,DOB,Age,Temp,Uvol,SPG1,SPG2,meanSPG,DayRain,AveRain,z.Age,z.Uvol,z.SPG,z.Temp,z.DayRain,z.AveRain
20230626_37,2023-01-24,11:12,SRM,20230626,Batch05,IC,YES,TD,Subord,GN,2012-10-23,10.3,28.3,0.2,1.027,1.027,1.0266,0,0,-0.670798344,-0.154744111,0.322088977,-0.069452828,-0.364002393,-0.796069764
20230626_38,2023-04-03,7:49,SRM,20230626,Batch05,IC,NO,ES,Alpha,BC,2013-03-15,10.1,25.6,0.1,1.038,1.038,1.0382,0,0.84,-0.713019434,-0.407961746,1.14737241,-0.902257279,-0.364002393,-0.618900731
20230904_04,2023-04-14,7:40,WTA,20230904,Batch06,DC,NO,CG,Subord,AD,2011-05-24,11.9,28.4,0.2,1.032,1.031,1.0315,0,0.68,-0.333029621,-0.154744111,0.670700082,-0.038608218,-0.364002393,-0.652647213
20230904_05,2023-06-13,10:17,CMS,20230904,Batch06,DC,NO,BS,Subord,LV,2017-02-28,6.3,29.7,0.2,1.01,1.01,1.01,1.8,2.32,-1.515220151,-0.154744111,-0.858920072,0.362371703,-0.231973561,-0.306745769
20230904_06,2023-04-21,14:41,RSB,20230904,Batch06,DC,YES,EC,Subord,GN,2009-01-01,14.3,33.8,0.2,1.038,1.038,1.0378,0,0,0.173623463,-0.154744111,1.11891436,1.627000685,-0.364002393,-0.796069764
20230904_09,2023-04-27,9:07,SRM,20230904,Batch06,DC,YES,BD,Alpha,AD,2010-08-20,12.7,25.9,0.1,1.065,1.065,1.065,0,0,-0.164145259,-0.407961746,3.054061719,-0.809723451,-0.364002393,-0.796069764
20230904_10,2023-06-12,10:19,CMS,20230904,Batch06,DC,NO,MC,Subord,LV,2017-01-05,6.4,31.2,0.2,1.019,1.019,1.0189,1.2,2.28,-1.494109606,-0.154744111,-0.225728473,0.825040842,-0.275983171,-0.315182389
20230904_12,2023-04-25,7:30,AGA,20230904,Batch06,DC,YES,FG,Subord,RM,2009-02-18,14.2,28.5,0.1,1.019,1.019,1.0187,0,0,0.152512918,-0.407961746,-0.239957498,-0.007763609,-0.364002393,-0.796069764
20230904_13,2023-06-12,11:31,CMS,20230904,Batch06,IC,YES,HG,Subord,LV,2007-04-12,16.2,32.9,0.1,1.042,1.042,1.0422,1.2,2.28,0.574723822,-0.407961746,1.431952904,1.349399201,-0.275983171,-0.315182389
20230904_15,2023-06-29,10:38,SRM,20230904,Batch06,DC,NO,BS,Subord,LV,2017-02-28,6.3,30.8,0.2,1.04,1.04,1.0397,0.1,3.38,-1.515220151,-0.154744111,1.254090095,0.701662405,-0.356667458,-0.083175323
20230904_16,2023-04-13,14:32,AGA,20230904,Batch06,DC,YES,KN,Subord,AD,2009-01-01,14.3,32.2,0.2,1.031,1.031,1.0311,0,0.72,0.173623463,-0.154744111,0.642242033,1.133486936,-0.364002393,-0.644210593
20230904_17,2023-07-10,12:56,CMS,20230904,Batch06,DC,NO,MC,Subord,LV,2017-01-05,6.5,32.1,2,1.037,1.037,1.0371,0,2.55,-1.472999061,4.40317333,1.069112774,1.102642326,-0.364002393,-0.2582352
20230904_18,2023-07-06,13:23,RSB,20230904,Batch06,DC,NO,HE,Subord,RM,2014-04-28,9.2,31.6,0.2,1.043,1.043,1.043,0.4,3.18,-0.903014341,-0.154744111,1.488869002,0.94841928,-0.334662652,-0.125358426
20230904_20,2023-06-01,7:16,SRM,20230904,Batch06,DC,NO,HG,Subord,LV,2007-04-12,16.1,25.5,0.2,1.005,1.005,1.0046,8.3,1.09,0.553613277,-0.154744111,-1.243103739,-0.933101889,0.244797223,-0.566171852
20230904_21,2023-04-14,10:57,RSB,20230904,Batch06,DC,YES,WE,Subord,AD,2013-11-01,9.4,34.8,0.2,1.036,1.036,1.0364,0,0.68,-0.860793251,-0.154744111,1.019311187,1.935446778,-0.364002393,-0.652647213
20230904_22,2023-04-24,15:58,AGA,20230904,Batch06,DC,YES,LO,Subord,RM,2011-01-01,12.3,33.6,0.1,1.031,1.031,1.0306,0,0,-0.24858744,-0.407961746,0.606669471,1.565311466,-0.364002393,-0.796069764
20230904_23,2023-06-12,8:11,SRM,20230904,Batch06,DC,NO,FG,Subord,LV,2009-02-18,14.3,28.2,0.2,1.03,1.03,1.0298,1.2,2.28,0.173623463,-0.154744111,0.549753372,-0.100297437,-0.275983171,-0.315182389
20230904_24,2023-04-20,7:54,WTA,20230904,Batch06,OL,YES,BY,Alpha,LV,2003-01-01,20.3,28.8,0.1,1.027,1.02,1.0235,0,0,1.440256175,-0.407961746,0.101539095,0.084770219,-0.364002393,-0.796069764
20230904_26,2023-07-10,9:00,SRM,20230904,Batch06,DC,YES,FG,Subord,LV,2009-02-18,14.4,27.2,2,1.036,1.036,1.0357,0,2.55,0.194734009,4.40317333,0.969509601,-0.40874353,-0.364002393,-0.2582352
20230904_28,2023-04-25,7:25,RSB,20230904,Batch06,DC,YES,FI,Subord,RM,2014-08-25,8.7,27.1,0.2,1.036,1.036,1.0362,0,0,-1.008567067,-0.154744111,1.005082163,-0.43958814,-0.364002393,-0.796069764
20230904_29,2023-04-20,11:32,SRM,20230904,Batch06,DC,YES,HG,Subord,LV,2007-04-12,16,35.7,0.1,1.03,1.03,1.0298,0,0,0.532502732,-0.407961746,0.549753372,2.213048262,-0.364002393,-0.796069764
20230904_30,2023-05-04,9:00,SRM,20230904,Batch06,DC,YES,DD,Alpha,GN,2008-01-01,15.3,29,0.1,1.039,1.039,1.0391,0,0.57,0.384728915,-0.407961746,1.211403021,0.146459437,-0.364002393,-0.67584792
20230904_31,2023-04-20,8:20,SRM,20230904,Batch06,DC,YES,SB,Subord,LV,2014-12-02,8.4,30.3,0.1,1.065,1.065,1.065,0,0,-1.071898702,-0.407961746,3.054061719,0.547439359,-0.364002393,-0.796069764
20230904_32,2023-06-01,8:08,SRM,20230904,Batch06,DC,NO,BS,Subord,LV,2017-02-28,6.3,26.7,0.2,1.022,1.022,1.0216,8.3,1.09,-1.515220151,-0.154744111,-0.03363664,-0.562966577,0.244797223,-0.566171852
20230904_33,2023-07-03,9:20,CMS,20230904,Batch06,DC,NA,BD,Alpha,AD,2010-08-20,12.9,30.7,0.2,1.029,1.029,1.0293,0.2,2.2,-0.121924169,-0.154744111,0.514180811,0.670817796,-0.349332523,-0.33205563
20230904_35,2023-07-06,13:38,WTA,20230904,Batch06,DC,NO,FI,Subord,RM,2014-08-25,8.9,32.6,0.2,1.034,1.034,1.0344,0.4,3.18,-0.966345977,-0.154744111,0.87702094,1.256865373,-0.334662652,-0.125358426
20230904_37,2023-06-29,9:30,SRM,20230904,Batch06,DC,NO,FG,Subord,LV,2009-02-18,14.4,28.3,1,1.034,1.034,1.0341,0.1,3.38,0.194734009,1.870996974,0.855677403,-0.069452828,-0.356667458,-0.083175323
20230904_39,2023-07-03,10:00,RSB,20230904,Batch06,DC,NA,CG,Subord,AD,2011-05-24,12.1,31.5,0.2,1.033,1.033,1.033,0.2,2.2,-0.290808531,-0.154744111,0.777417768,0.91757467,-0.349332523,-0.33205563
20230904_40,2023-04-24,13:44,WTA,20230904,Batch06,DC,YES,HE,Subord,RM,2014-04-28,9,37.8,0.2,1.016,1.016,1.016,0,0,-0.945235431,-0.154744111,-0.432049331,2.860785057,-0.364002393,-0.796069764
20230904_41,2023-06-29,11:30,WTA,20230904,Batch06,IC,NO,MC,Subord,LV,2017-01-05,6.5,32.4,0.2,1.01,1.01,1.0104,0.1,3.38,-1.472999061,-0.154744111,-0.830462023,1.195176154,-0.356667458,-0.083175323
20230904_42,2023-04-05,8:42,RSB,20230904,Batch06,DC,YES,TD,Subord,GN,2012-10-23,10.4,32.1,0.2,1.03,1.03,1.0301,0,0.84,-0.649687799,-0.154744111,0.57109691,1.102642326,-0.364002393,-0.618900731
20230904_44,2023-07-03,8:06,RSB,20230904,Batch06,DC,NA,KN,Subord,AD,2009-01-01,14.5,31.6,0.2,1.023,1.023,1.0226,0.2,2.2,0.215844554,-0.154744111,0.037508483,0.94841928,-0.349332523,-0.33205563
20230904_45,2023-07-10,10:30,SRM,20230904,Batch06,OL,YES,BS,Subord,LV,2017-02-28,6.4,28.8,0.2,1.027,1.027,1.0273,0,2.55,-1.494109606,-0.154744111,0.371890564,0.084770219,-0.364002393,-0.2582352
20230904_46,2023-04-25,8:40,SRM,20230904,Batch06,IC,NO,CZ,Subord,RM,2006-01-01,17.3,30.2,0.2,1.034,1.034,1.0338,0,0,0.806939819,-0.154744111,0.834333866,0.516594749,-0.364002393,-0.796069764
20230904_48,2023-06-01,9:18,SRM,20230904,Batch06,IC,NO,MC,Subord,LV,2017-01-05,6.4,29.9,0.2,1.003,1.003,1.003,8.3,1.09,-1.494109606,-0.154744111,-1.356935937,0.424060921,0.244797223,-0.566171852
20230904_50,2023-04-11,15:43,RSB,20230904,Batch06,DC,YES,KO,Alpha,RM,2009-01-01,14.3,30.8,0.2,1.011,1.011,1.011,0,0.84,0.173623463,-0.154744111,-0.787774949,0.701662405,-0.364002393,-0.618900731
20230904_51,2023-07-04,14:30,WTA,20230904,Batch06,IC,NO,WE,Subord,AD,2013-11-01,9.7,28.7,0.2,1.043,1.043,1.0432,29.1,2.2,-0.797461615,-0.154744111,1.503098027,0.053925609,1.770463729,-0.33205563
